start_time,temperature,error_temperature,environment_humidity,error_environment_humidity,ground_humidity,error_ground_humidity,luminosity,error_luminosity,end_time
2016-11-08 16:30:00,69.5051229508,1.28525351416,0.485348360656,0.122103430814,49.5683060109,8.27724518068,50.0,N/A,2016-11-08 17:00:00
2016-11-08 17:00:00,68.07616179,2.52355578449,0.466947504303,0.11327217768,48.3780837636,7.72121611712,50.0,N/A,2016-11-08 17:30:00
2016-11-08 17:30:00,69.6948653199,3.26709522048,0.467090909091,0.0986354438982,47.1004489338,7.25810475328,49.9646464646,N/A,2016-11-08 18:00:00
2016-11-08 18:00:00,70.2640124555,1.39439695774,0.452320284698,0.117090340339,46.0243179122,7.12482764342,49.9395017794,N/A,2016-11-08 18:30:00
2016-11-08 18:30:00,68.3226495726,1.89468355472,0.457466666667,0.14764873083,45.2871794872,6.83216428693,49.4683760684,N/A,2016-11-08 19:00:00
2016-11-08 19:00:00,63.3852131439,2.71821643194,0.494609236234,0.167525276913,45.207223209,6.90968104004,48.7495559503,N/A,2016-11-08 19:30:00
2016-11-08 19:30:00,49.1503222836,1.297339099,0.682430939227,0.209405180581,45.3449969306,6.74521714403,45.4696132597,N/A,2016-11-08 20:00:00
2016-11-08 20:00:00,46.3371443089,1.11275899458,0.753661585366,0.232774665856,45.4322493225,6.92628304668,45.837398374,N/A,2016-11-08 20:30:00
2016-11-08 20:30:00,44.0427631579,0.953663750942,0.7848125,0.229693403428,45.6798245614,7.11285027828,45.3092105263,N/A,2016-11-08 21:00:00
2016-11-08 21:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-08 21:30:00
2016-11-08 21:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-08 22:00:00
2016-11-08 22:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-08 22:30:00
2016-11-08 22:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-08 23:00:00
2016-11-08 23:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-08 23:30:00
2016-11-08 23:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 00:00:00
2016-11-09 00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 00:30:00
2016-11-09 00:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 01:00:00
2016-11-09 01:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 01:30:00
2016-11-09 01:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 02:00:00
2016-11-09 02:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 02:30:00
2016-11-09 02:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 03:00:00
2016-11-09 03:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 03:30:00
2016-11-09 03:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 04:00:00
2016-11-09 04:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 04:30:00
2016-11-09 04:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 05:00:00
2016-11-09 05:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 05:30:00
2016-11-09 05:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 06:00:00
2016-11-09 06:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 06:30:00
2016-11-09 06:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 07:00:00
2016-11-09 07:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 07:30:00
2016-11-09 07:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 08:00:00
2016-11-09 08:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 08:30:00
2016-11-09 08:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 09:00:00
2016-11-09 09:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 09:30:00
2016-11-09 09:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 10:00:00
2016-11-09 10:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 10:30:00
2016-11-09 10:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 11:00:00
2016-11-09 11:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 11:30:00
2016-11-09 11:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 12:00:00
2016-11-09 12:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 12:30:00
2016-11-09 12:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 13:00:00
2016-11-09 13:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 13:30:00
2016-11-09 13:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 14:00:00
2016-11-09 14:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 14:30:00
2016-11-09 14:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 15:00:00
2016-11-09 15:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 15:30:00
2016-11-09 15:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 16:00:00
2016-11-09 16:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 16:30:00
2016-11-09 16:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 17:00:00
2016-11-09 17:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 17:30:00
2016-11-09 17:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 18:00:00
2016-11-09 18:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 18:30:00
2016-11-09 18:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 19:00:00
2016-11-09 19:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 19:30:00
2016-11-09 19:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 20:00:00
2016-11-09 20:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 20:30:00
2016-11-09 20:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 21:00:00
2016-11-09 21:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 21:30:00
2016-11-09 21:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 22:00:00
2016-11-09 22:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 22:30:00
2016-11-09 22:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 23:00:00
2016-11-09 23:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 23:30:00
2016-11-09 23:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 00:00:00
